name,capitalization,p_e,eps,volume,p_b,book_value,n_o_shares,n_o_shares,price
VHM,174174000000000,8.51,4700,8148200,0.87,45961,4354367490,6.64,39850
VIC,156961000000000,16.43,2498,569000,1.16,35261,3823661570,6.11,40900
BCM,68931000000000,24.73,2692,36500,3.6,18486,1035000000,18.71,66200
VRE,40788000000000,10,1794,1358500,1,17971,2272318460,5.92,17750
KHD,29000000000,3,,,0.69,,3262818,2.11,9100
SSH,25087000000000,65.49,1021,7900,4.48,14939,375000000,33.64,66800
KBC,22107000000000,52.43,549,4550100,1.19,24136,767604736,15.73,28800
NVL,20866000000000,-8.49,-1260,1978800,0.62,17390,1950104580,158.61,10650
IDC,18810000000000,8.59,6634,567400,3.57,15965,329999936,4.42,57000
VPI,18658000000000,69.97,918,982300,4.71,13629,320049568,43.66,58200
PDR,18641000000000,42.74,499,4376700,1.69,12596,873140100,25.34,20850
SIP,17095000000000,14.41,5634,285300,4.04,20076,210533400,10.34,81100
NLG,15237000000000,49.91,793,777800,1.66,23839,384777472,20.78,38850
DIG,12715000000000,154.78,134,4631000,1.65,12667,609851968,38.94,20450
SNZ,12612000000000,12.77,2623,6000,1.94,17271,376491800,4.92,33600
KSF,12120000000000,19.6,2061,11600,2.53,15939,300000000,12.47,40600
DXG,11783000000000,82.96,197,12674800,1.1,14822,720703400,15.49,15950
HDG,9450000000000,13.28,2116,2565400,1.53,18395,336331520,7.28,28350
KOS,8356000000000,288.93,133,266200,3.6,10732,216481328,45.54,38450
CEO,8106000000000,47.48,315,1776200,1.34,11205,540406400,21.23,14900
SZC,7667000000000,27.1,1572,2013400,2.53,16836,179985856,18.06,42200
SJS,7050000000000,31.35,1974,1000,2.47,25049,113897480,24.63,61500
TAL,5197000000000,7.78,2248,11000,1.59,11020,297000000,0,17500
VCR,5082000000000,-244.21,-99,6000,3.2,7564,210000000,-321.76,24000
IJC,4986000000000,18.11,729,405400,0.99,13285,377748384,11.64,13200
TID,4820000000000,15.97,1508,2000,2.19,11006,200000000,10.12,23800
NTC,4752000000000,18.09,10945,4600,4.11,48215,23999980,13.58,198300
HDC,4565000000000,40.93,625,1681100,2.03,12610,178354960,30.01,25150
DXS,3668000000000,-378.39,-16,1764400,0.61,10312,574103100,17.4,6500
QCG,3659000000000,138.98,95,1374000,0.88,15038,275129152,29.29,13850
VC3,3504000000000,25.39,1102,219600,2.55,10963,125150936,18.95,27900
CRE,3236000000000,105.48,66,92300,0.58,12082,463678432,23.6,6930
PRT,3150000000000,20.95,501,21600,0.9,11642,300000000,7.33,10200
BCR,2558000000000,26.2,206,448800,0.51,10583,473799900,13.88,5300
TIG,2555000000000,12.68,1041,572700,1.03,12823,193606200,9.83,13100
AGG,2527000000000,8.69,1788,121800,0.83,18757,162528080,6.34,15400
NBB,2498000000000,294.06,84,1300,1.38,18096,100159792,17.42,24750
KHG,2404000000000,47.07,113,1607500,0.46,11589,449435200,17.32,5260
NTL,2390000000000,2.35,8350,1139500,1.23,15902,121979900,1.51,19400
CKG,2381000000000,17.62,1418,7000,1.71,14581,95259360,19.19,24550
SGR,2310000000000,31.49,1222,67400,2.57,14977,59999988,19.9,38100
SCR,2112000000000,331.06,16,491300,0.43,12306,395661760,13.31,5260
LCG,2017000000000,12.67,824,650200,0.8,13078,193090832,7.4,10350
HQC,1868000000000,66.2,48,1503100,0.35,9363,576599300,35.37,3220
LHG,1850000000000,9.22,4011,136600,1.15,32282,50012010,6.01,37200
SZG,1844000000000,10.15,3311,3200,2.15,15612,54898000,3.92,34000
HPX,1505000000000,11.83,418,503600,0.44,11295,304168576,9.81,4880
HAN,1466000000000,24.19,429,4100,1,10412,141048000,10.96,10500
TIP,1452000000000,6.71,3330,45300,0.81,27532,65007856,5.16,22500
IDV,1344000000000,10.01,3744,23300,1.53,24522,35858384,8,37400
SID,1200000000000,15.67,765,1900,0.5,23973,100000000,11.42,12000
PXL,1164000000000,1546.04,9,61500,1.41,9994,82574420,236.11,13900
SZL,1158000000000,9.94,4262,100,1.81,23412,27344540,5.78,41500
NHA,1088000000000,18.72,1316,376600,2.15,11455,44174520,14.61,24500
IDJ,1058000000000,7.74,788,522800,0.52,11840,173490192,5.77,6100
ITC,1045000000000,14.07,774,143900,0.48,22520,95935050,6.21,10750
TIX,1045000000000,10.06,3464,,1.24,28110,30000000,6.02,34850
LSG,1026000000000,-1272.32,-8,136200,0.99,11547,90000000,13.73,11800
D2D,981000000000,47.28,686,26900,1.05,30863,30259742,16.15,32200
BVL,827000000000,32.34,309,,0.84,11879,82788300,12.13,10000
MH3,792000000000,15.46,2134,,1.35,24382,24000000,9.39,33000
VPH,705000000000,4.2,1761,163300,0.61,12110,95357800,2.99,7020
NDN,644000000000,9.87,912,45400,0.59,15271,71657940,5.73,8900
API,639000000000,-12.2,-623,292000,0.73,10414,84083976,69.84,7600
VRG,621000000000,2.72,8823,11800,1.64,14638,25894868,1.75,24300
FDC,617000000000,612.01,26,,1.38,11571,38623490,279.02,16000
TN1,584000000000,26.65,401,400,0.64,16601,54632348,18.15,10800
LAI,543000000000,11.21,,45500,2,,17100000,19.94,32500
HLD,540000000000,238.04,113,21300,1.27,21270,20000000,52.28,26900
LDG,497000000000,-0.78,-2491,761400,0.22,8757,256207344,-2.96,1920
VHD,482000000000,-2.01,-6315,,5.72,2219,38000000,-141.33,12700
CCL,455000000000,9.34,819,316100,0.63,12106,59581416,7.71,7420
VRC,439000000000,762.33,11,23000,0.45,19433,50000000,84.41,8280
AAV,434000000000,-36.74,-171,464400,0.59,10671,68987660,-401.61,6200
NRC,416000000000,30.44,147,284300,0.37,12192,92597760,8.86,4400
CDC,381000000000,22.38,775,258600,1.2,14476,21988716,12.61,17250
SDU,356000000000,384.37,46,,1.01,17661,20000000,21.15,17800
HAR,327000000000,37.66,90,44900,0.3,11228,95684090,22.2,3450
BAX,323000000000,10.92,3609,,1.46,26963,8200000,6.08,39400
FIR,301000000000,185.9,25,130800,0.41,11542,64245280,11.92,4660
TDH,294000000000,-7.46,-349,62900,0.79,3297,112652768,-6.76,2600
PTL,275000000000,-7.87,-354,8500,0.63,4436,98865080,154.69,2760
CIG,245000000000,56.67,137,513500,8.84,881,31539948,26.07,7300
HD6,204000000000,11.68,1155,1800,0.83,16172,15120000,3.39,13500
PVL,195000000000,3242.21,-16,,0.75,3215,50000000,239.54,3900
HD2,170000000000,776.34,,10000,0.95,,8962353,0,18400
RCL,159000000000,156.59,73,,0.56,20683,13858714,43.91,11500
PFL,105000000000,-60.02,-34,8000,0.47,4446,50000000,-524.02,2000
BIG,104000000000,20.78,,49600,1.42,,14335000,9.18,7000
SRA,103000000000,3.31,726,,0.17,14132,43199976,3.63,2400
PV2,99000000000,-147.01,-18,113800,0.4,6712,36868800,-184.75,2700
ICC,98000000000,12.58,,,0.82,,3800000,0,26000
MGR,84000000000,-4.97,-844,,0.57,7399,20000000,-4.81,4200
DLR,81000000000,45.47,395,,-4.65,-3875,4500000,9.65,18000
D11,78000000000,21.99,486,100,0.42,25643,7338138,8.54,10900
DTA,74000000000,33.23,124,22200,0.36,11319,18059832,12.72,3850
PNT,60000000000,10.02,,,0.54,,9282272,0,6500
DC2,58000000000,14.74,529,,0.71,11046,7556341,7.92,7800
PIV,53000000000,-40.4,-76,82600,26.06,118,17324942,-41.53,3000
PVR,51000000000,-5.53,-180,,0.11,8843,51906710,-8.39,1000
PLA,44000000000,-24.2,,1100,0.47,,10000000,-17.8,4200
BII,40000000000,23.62,29,,0.09,8191,57680000,8.84,700
HU6,39000000000,311.36,,13700,0.8,10624,7500000,0,5100
HU3,38000000000,-2.76,-1268,1000,0.24,14308,9999944,-13.71,3800
PWA,34000000000,3.41,,57000,1.45,,10000000,0,3300
HTT,28000000000,-3.29,-425,,0.24,5879,20000000,-17.15,1400
CID,26000000000,-185.62,,600,10.19,10822,928500,123.81,29200
PXA,18000000000,18.46,65,,0.58,2061,15000000,8.08,1200
